topology	observed	nuclear
(((((cattle,indicus),(wisent,yak)),buffalo),bison),goat);	0	0.001535
((((bison,wisent),cattle),((indicus,yak),buffalo)),goat);	0	0.001525
((((((indicus,wisent),cattle),yak),bison),buffalo),goat);	0.00151381354863126	0
(((((cattle,yak),(indicus,wisent)),bison),buffalo),goat);	0.00151381354863126	0
((((((cattle,yak),wisent),indicus),bison),buffalo),goat);	0.00145073798410496	0
(((((cattle,wisent),(indicus,yak)),bison),buffalo),goat);	0.00145073798410496	0
(((((bison,yak),(cattle,indicus)),buffalo),wisent),goat);	0	0.001405
(((((bison,indicus),wisent),(cattle,yak)),buffalo),goat);	0.00138766241957866	0
((((((cattle,yak),wisent),bison),indicus),buffalo),goat);	0.00132458685505235	0
((((((bison,yak),cattle),wisent),indicus),buffalo),goat);	0	0.001315
((((((wisent,yak),cattle),bison),indicus),buffalo),goat);	0	0.001285
((((((indicus,wisent),yak),bison),cattle),buffalo),goat);	0.00126151129052605	0
((((((indicus,wisent),bison),yak),cattle),buffalo),goat);	0.00126151129052605	0
((((((indicus,yak),wisent),cattle),bison),buffalo),goat);	0.00126151129052605	0
((((((bison,wisent),yak),buffalo),indicus),cattle),goat);	0.00119843572599975	0
((((((bison,indicus),yak),cattle),wisent),buffalo),goat);	0.00119843572599975	0
((((((cattle,wisent),yak),bison),indicus),buffalo),goat);	0.00113536016147345	0
((((((bison,wisent),yak),buffalo),cattle),indicus),goat);	0.00107228459694714	0
((((((indicus,yak),wisent),bison),cattle),buffalo),goat);	0.00100920903242084	0
