no	type	tree	observed	simulate
106	2.mtLike	(((((bison,yak),indicus),(cattle,wisent)),buffalo),goat);	0	0.003045
107	2.mtLike	((((((bison,yak),indicus),cattle),wisent),buffalo),goat);	0.00157688911315756	0.001335
108	2.mtLike	((((((bison,yak),indicus),wisent),cattle),buffalo),goat);	0.00151381354863126	0.00133
109	2.mtLike	(((((bison,yak),cattle),(indicus,wisent)),buffalo),goat);	0	0.002785
110	2.mtLike	((((((bison,yak),cattle),indicus),wisent),buffalo),goat);	0.00132458685505235	0.00129
111	2.mtLike	((((((indicus,wisent),cattle),bison),yak),buffalo),goat);	0.0023968714519995	0
112	2.mtLike	((((bison,yak),buffalo),((cattle,indicus),wisent)),goat);	0	0.002155
113	2.mtLike	((((((cattle,wisent),indicus),yak),bison),buffalo),goat);	0.00214456919389429	0
114	2.mtLike	(((((cattle,indicus),wisent),buffalo),(bison,yak)),goat);	0	0.002095
115	2.mtLike	((((bison,yak),(cattle,indicus)),(buffalo,wisent)),goat);	0	0.00156
116	2.mtLike	((((((indicus,wisent),cattle),yak),bison),buffalo),goat);	0.00151381354863126	0
117	2.mtLike	(((((bison,yak),(cattle,indicus)),buffalo),wisent),goat);	0	0.001405
118	2.mtLike	((((((bison,yak),cattle),wisent),indicus),buffalo),goat);	0	0.001315
